1000
P1,80.872,46.799,1.096
P2,35.028,71.675,1.165
P3,74.658,13.928,1.172
P4,71.048,41.082,1.061
P5,1.498,7.312,3.073
P6,14.731,13.271,1.198
P7,44.568,9.526,1.001
P8,0.891,30.229,1.106
P9,57.117,48.140,1.121
P10,16.623,53.042,1.090
P11,35.211,4.563,1.122
P12,78.329,64.207,1.104
P13,30.194,70.076,1.145
P14,95.587,74.055,1.108
P15,14.233,36.965,1.047
P16,86.221,16.768,1.156
P17,84.363,79.741,1.200
P18,61.148,31.394,1.053
P19,29.727,67.209,1.005
P20,37.585,7.410,-0.865
P21,5.621,0.703,1.184
P22,27.588,21.831,1.118
P23,69.116,67.007,1.145
P24,48.492,16.428,1.149
P25,46.844,36.636,1.190
P26,74.442,8.662,1.120
P27,38.522,58.799,1.122
P28,57.239,28.906,1.030
P29,22.510,34.011,1.161
P30,51.709,79.197,1.150
P31,34.555,13.518,1.131
P32,49.188,5.083,1.140
P33,50.479,11.799,1.190
P34,14.157,72.407,1.139
P35,30.304,34.124,1.014
P36,96.658,54.653,1.031
P37,87.723,65.732,1.116
P38,19.135,14.231,1.163
P39,47.525,12.444,1.101
P40,73.199,32.446,1.056
P41,56.873,54.578,1.151
P42,72.189,38.022,1.025
P43,36.780,66.772,1.007
P44,51.700,53.037,1.085
P45,10.468,75.945,1.184
P46,54.953,27.678,1.094
P47,37.497,67.756,1.063
P48,45.609,21.750,1.197
P49,29.779,59.133,1.113
P50,19.598,60.903,5.168
P51,39.764,40.071,1.178
P52,2.747,79.568,1.115
P53,5.051,42.505,1.039
P54,84.302,50.139,1.132
P55,19.785,67.371,1.025
P56,10.992,59.448,1.063
P57,94.104,22.886,1.067
P58,14.026,58.645,1.167
P59,70.798,48.018,1.149
P60,25.272,11.558,1.000
P61,6.100,64.497,1.171
P62,21.057,9.248,1.111
P63,1.425,9.102,1.091
P64,75.220,54.890,1.109
P65,7.388,34.937,1.040
P66,69.620,23.228,1.087
P67,23.242,46.228,1.107
P68,62.866,12.815,1.101
P69,96.301,55.659,1.185
P70,18.994,26.875,1.036
P71,99.515,36.594,1.200
P72,9.750,50.012,1.019
P73,43.771,74.519,1.010
P74,89.459,23.201,1.045
P75,76.904,32.856,1.040
P76,62.805,48.330,1.090
P77,46.634,47.825,1.127
P78,85.477,66.301,1.125
P79,72.089,45.259,1.075
P80,18.427,59.031,1.111
P81,90.506,19.429,1.038
P82,60.471,55.879,1.117
P83,35.129,39.556,1.016
P84,74.072,48.962,1.124
P85,69.110,64.360,1.030
P86,57.602,69.417,1.182
P87,61.469,58.213,1.009
P88,66.776,78.120,1.063
P89,56.918,24.465,1.035
P90,10.855,69.521,1.170
P91,74.429,12.390,1.065
P92,7.935,6.128,1.128
P93,81.998,43.606,1.090
P94,40.897,23.899,1.093
P95,50.119,12.212,1.065
P96,73.798,25.110,1.165
P97,95.905,69.866,1.145
P98,30.005,75.518,1.025
P99,6.573,62.795,1.105
P100,60.962,76.487,1.014
P101,87.561,52.307,1.064
P102,10.480,40.403,1.045
P103,29.028,73.596,1.110
P104,66.278,9.163,1.099
P105,37.912,39.744,1.159
P106,50.925,30.588,1.138
P107,53.214,48.501,1.079
P108,0.589,56.628,1.020
P109,62.305,69.058,1.098
P110,74.731,39.751,1.076
P111,78.534,44.224,1.071
P112,95.569,50.466,1.035
P113,37.424,10.530,1.149
P114,95.169,48.958,1.006
P115,32.983,4.473,1.128
P116,13.162,67.764,1.173
P117,59.686,57.729,1.171
P118,1.468,10.117,1.142
P119,61.713,17.405,1.013
P120,16.891,49.927,1.068
P121,31.940,29.404,1.132
P122,80.237,64.548,1.105
P123,61.108,63.853,1.180
P124,14.481,50.413,1.080
P125,25.369,10.923,1.171
P126,6.616,34.224,1.115
P127,30.228,43.843,1.045
P128,31.134,8.850,1.162
P129,13.470,22.739,1.158
